municipality,province,year,"AGRICOLTURA, POLITICHE AGROALIMENTARI E PESCA",ANTICIPAZIONI FINANZIARIE,ASSETTO DEL TERRITORIO ED EDILIZIA ABITATIVA,DEBITO PUBBLICO,"DIRITTI SOCIALI, POLITICHE SOCIALI E FAMIGLIA",Disavanzo di amministrazione,ENERGIA E DIVERSIFICAZIONE DELLE FONTI ENERGETICHE,FONDI E ACCANTONAMENTI,GIUSTIZIA,ISTRUZIONE E DIRITTO ALLO STUDIO,ORDINE PUBBLICO E SICUREZZA,"POLITICHE GIOVANILI, SPORT E TEMPO LIBERO",POLITICHE PER IL LAVORO E LA FORMAZIONE PROFESSIONALE,Prestiti,RELAZIONI CON LE ALTRE AUTONOMIE TERRITORIALI E LOCALI,RELAZIONI INTERNAZIONALI,"SERVIZI ISTITUZIONALI, GENERALI E DI GESTIONE",SERVIZI PER CONTO TERZI,SOCCORSO CIVILE,SVILUPPO ECONOMICO E COMPETITIVITÀ,SVILUPPO SOSTENIBILE E TUTELA DEL TERRITORIO E DELL'AMBIENTE,Spese per conto terzi,TOTALE SPESE,TRASPORTI E DIRITTO ALLA MOBILITA',TURISMO,TUTELA DELLA SALUTE,TUTELA E VALORIZZAZIONE DEI BENI E ATTIVITA' CULTURALI,funzioni,preventivo-spese-disavanzo-di-amministrazione
SAN FELICE A CANCELLO,CE,2016,0,10661762,1359658,523036,2133752,0,0,2198536,18000,1475209,1017053,599524,0,NA,0,0,5698744,6832765,48209,526572,6997060,NA,40999626,906190,0,0,3556,NA,NA
SAN PAOLO DI CIVITATE,FG,2016,2092,2846468,83555,316353,177708,NA,0,7400,0,189968,118233,8710,0,NA,0,0,1197545,1678955,0,380959,820420,NA,7877485,18770,0,2968,27380,NA,NA
MELISSANO,LE,2016,170458,2712418,366367,594285,155081,234462,0,22000,0,1286861,181932,153588,0,NA,0,0,2759695,961029,0,88176,5303761,NA,16742127,1977949,0,0,8528,NA,NA
SAN LORENZO,RC,2016,15156,0,1132622,2199744,325088,77834,2594889,50780,9948,216175,77903,0,0,NA,0,0,1494660,522960,36928,200,2985545,NA,11783897,0,100,0,121200,NA,NA
ACRI,CS,2016,13167,5997596,999352,2485064,1169502,NA,1918,0,947,1079452,445658,42534,0,NA,0,0,5712252,16436896,0,42395,4404512,NA,40406173,1240809,58109,0,276011,NA,NA
BENEVENTO,BN,2017,2673,35957604,3464255,8150760,4461431,NA,0,0,151894,601561,2135975,199393,0,NA,0,0,9559090,65934667,160547,576329,14710969,NA,155014714,8046113,51509,0,849943,NA,NA
MONTEPARANO,TA,2017,0,188709,951,114845,9375,NA,0,0,0,64283,157414,0,0,NA,0,0,477733,362305,0,0,268494,NA,1720036,75928,0,0,0,NA,NA
BADOLATO,CZ,2017,0,0,19901,132833,155672,NA,0,0,1300,131949,33194,2500,0,NA,0,0,1198242,259996,0,38410,165689,NA,2458633,318948,0,0,0,NA,NA
CERDA,PA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASTELDACCIA,PA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRAGNETO L'ABATE,BN,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BROLO,ME,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
PORTOCANNONE,CB,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
BELLEGRA,RM,2017,0,1447085,1977,281182,84517,NA,0,0,0,78829,103383,0,0,NA,0,0,525724,587000,0,0,503266,NA,3642643,29681,0,0,0,NA,NA
ALIFE,CE,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
MAZZARRA' SANT'ANDREA,ME,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAN CALOGERO,VV,2017,0,65477,88754,352921,25976,NA,0,0,0,151087,83277,0,103365,NA,0,0,927004,367368,0,0,722141,NA,3171815,261929,0,21617,900,NA,NA
CASTEL CAMPAGNANO,CE,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
AMANTEA,CS,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
ARGENTERA,CN,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
LOCRI,RC,2017,1068,0,375149,850407,746466,73053,0,129542,1201552,3571557,520180,45554,0,NA,0,0,8533382,1942338,2084,18824,12492366,NA,34688011,2806240,29354,0,1421948,NA,NA
CORCHIANO,VT,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
GIOIA TAURO,RC,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
PIZZO,VV,2017,0,1900000,1768885,596369,169333,0,0,20000,43832,411531,295947,638884,0,NA,0,0,5713329,22104973,25490,0,11935914,NA,46797193,989487,80229,0,102991,NA,NA
