Municipality,province,inhabitants,Year,Total Revenues,Taxes and Duties,Extra-Tax Revenues,External Public Funding,Loans,Custodial Revenues,Capital Transfers,Revenues from Reduction of Financial Activities,Capital Revenues
CASTEL CAMPAGNANO,CE,1528.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMANTEA,CS,13975.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTERA,CN,78.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCRI,RC,12367.0,2017,32836288.0,11086226.0,12116880.0,0.0,1958553.0,1944725.0,3012472.0,0.0,2717432.0
CORCHIANO,VT,3793.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIOIA TAURO,RC,20076.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIZZO,VV,9329.0,2017,48667486.0,8788447.0,2900715.0,1900000.0,393769.0,22323489.0,1797063.0,0.0,10564003.0
MURO LUCANO,PZ,5344.0,2017,21759768.0,3612874.0,1885017.0,7178548.0,0.0,3008916.0,2783048.0,0.0,3291364.0
AZZANO MELLA,BS,3332.0,2017,2437546.0,1468610.0,391030.0,0.0,0.0,233428.0,148393.0,0.0,196085.0
CHIEUTI,FG,1675.0,2017,10875369.0,2135985.0,603196.0,678328.0,20044.0,4569042.0,81360.0,5605.0,2781809.0
TAURIANOVA,RC,15501.0,2017,31345547.0,6513223.0,1217930.0,4000000.0,0.0,17424146.0,1811448.0,0.0,378800.0
SAN MANGO D'AQUINO,CZ,1526.0,2017,,0.0,0.0,0.0,0.0,,0.0,,
ARDEA,RM,49663.0,2017,34636882.0,23507350.0,1319883.0,0.0,1732528.0,3412845.0,2482462.0,0.0,2181814.0
BOVALINO,RC,8898.0,2017,23935769.0,1992000.0,4510772.0,500000.0,21691.0,3361666.0,4114234.0,0.0,9435406.0
CASSARO,SR,779.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICOTERA,VV,6208.0,2018,4621863.0,3066663.0,396497.0,0.0,0.0,518215.0,85026.0,0.0,555461.0
SOMMATINO,CL,6777.0,2018,,0.0,0.0,0.0,0.0,,0.0,,
TERNI,TR,110749.0,2018,204683089.0,68534988.0,14743273.0,67656491.0,699797.0,39981507.0,9579776.0,0.0,3487257.0
RIACE,RC,2321.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORGETTO,PA,7359.0,2018,,0.0,0.0,0.0,0.0,,0.0,,
PIGNATARO INTERAMNA,FR,2499.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONREALE,PA,38884.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTE PORZIO CATONE,RM,8758.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAGARISE,CZ,1582.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANDATORICCIO,CS,2741.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASERTA,CE,75430.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIZZINI,CT,6029.0,2018,,0.0,0.0,0.0,0.0,,0.0,,
